"file","id","study_type","type","authors","title","source","year","vl","no","pg","country","identifiers"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Bondolfi-1998","PUB","JOURNAL_ARTICLE","Bondolfi G, Baumann P, Dufour H","Treatment-resistant schizophrenia - clinical experience with new antipsychotics","European Neuropsychopharmacology","1996","6","Suppl 2","S21-5","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Bondolfi-1998","PUB","CONFERENCE_PROC","Bondolfi G, Baumann P, Patris M, May J, Billeter U, Dufour H, De Smedt G, Lemmens P","A randomized double-bind trial of risperidone versus clozapine for treatment-resistant chronic schizophrenia","Proceedings of the 8th European College of Neuropsychopharmacology Congress; 1995 Sep 30 - Oct 4; Venice, Italy","1995","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Bondolfi-1998","PUB","CONFERENCE_PROC","Bondolfi G, Baumann P, Patris M, May JP, Billeter U, Dufour H","A randomised double-blind trial of risperidone versus clozapine for treatment-resistant chronic schizophrenia","Proceedings of the 148th Annual Meeting of the American Psychiatric Association; 1995 May 20-25; Miami, Florida, USA","1995","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Bondolfi-1998","PUB","CONFERENCE_PROC","Bondolfi G, Baumann P, Patris M, May JP, Billeter U, Dufour H","A randomized double-blind trial of risperidone versus clozapine for treatment-resistant chronic schizophrenia","Proceedings of the Workshop on Critical Issues in the Treatment of Schizophrenia; 1995 Mar 10-12; Florence, Italy","1995","","","174-5","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Bondolfi-1998","PUB","JOURNAL_ARTICLE","Bondolfi G, Dufour H, Patris M, May JP, Billeter U, Eap CB, Baumann P","Risperidone versus clozapine in treatment-resistant chronic schizophrenia: a randomized double-blind study. The Risperidone Study Group","American Journal of Psychiatry","1998","155","4","499-504","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Breier-1999","PUB","JOURNAL_ARTICLE","Breier AF, Malhotra AK, Su TP, Pinals DA, Elman I, Adler CM, Lafargue RT, Clifton A, Pickar D","Clozapine and risperidone in chronic schizophrenia: effects on symptoms, parkinsonian side effects, and neuroendocrine response","American Journal of Psychiatry","1999","156","2","294-8","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Conley-2003","PUB","JOURNAL_ARTICLE","Conley RR, Kelly DL, Richardson CM, Tamminga CA, Carpenter Jr WT","The efficacy of high-dose olanzapine versus clozapine in treatment-resistant schizophrenia: a double-blind, crossover study","Journal of Clinical Psychopharmacology","2003","23","6","668-71","United States of America","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Conley-2003","PUB","JOURNAL_ARTICLE","Kelly DL, Conley RR, Richardson CM, Tamminga CA, Carpenter Jr WT","Adverse effects and laboratory parameters of high-dose olanzapine vs. clozapine in treatment-resistant schizophrenia","Annals of Clinical Psychiatry","2003","15","3-4","181-6","United States of America","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","JOURNAL_ARTICLE","Heinrich K, Klieser E, Lehmann E, Kinzler E, Hruschka H","Risperidone versus clozapine in the treatment of schizophrenic patients with acute symptoms: a double blind, randomized trial","Progress in Neuropsychopharmacology and Biological Psychiatry","1994","18","1","129-37","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","JOURNAL_ARTICLE","Heinrich K, Klieser E, Lehmann E, Kinzler E","Experimental comparison of the efficacy and compatibility of clozapine and risperidone in acute schizophrenia","Clinical Neuropharmacology","1992","15","Suppl 1 (Pt B)","375B","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","CONFERENCE_PROC","Heinrich K, Klieser E, Lehmann E, Kinzler E","Experimental comparison of the efficacy and compatibility of risperidone and clozapine in acute schizophrenia","Proceedings of the 17th Collegium Internationale Neuro-Psychopharmacologicum Congress; 1990 Sep 10-14; Kyoto, Japan","1991","","","37-9","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","CONFERENCE_PROC","Heinrich K","Risperidone versus clozapine in acute schizophrenia","Proceedings of the 1st International Risperidone Investigators' Meeting; 1992 Mar 9-10; Paris, France","1992","","","27-28","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","UNPUBLISHED","Klieser E, Kinzler E","Risperidone versus clozapine in the treatment of schizophrenic patients with acute symptoms: a double-blind, randomised trial","Clinical report","1991","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","JOURNAL_ARTICLE","Klieser E, Lehmann E, Kinzler E, Wurthmann C, Heinrich K","Randomized, double-blind, controlled trial of risperidone versus clozapine in patients with chronic schizophrenia","Journal of Clinical Psychopharmacology","1995","15","1 Suppl 1","S45-51","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Heinrich-1994","PUB","CONFERENCE_PROC","Klieser E, Rappard F","Randomized, double-blind, controlled trial of risperidone versus clozapine in patients with acute exacerbations of schizophrenia","European Psychiatry","1994","9","Suppl 1","154S","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Krakowski-2006","PUB","JOURNAL_ARTICLE","Krakowski MI, Czobor P, Citrome L, Bark N, Cooper TB","Atypical antipsychotic agents in the treatment of violent patients with schizophrenia and schizoaffective disorder","Archives of General Psychiatry","2006","63","6","622-9","United States","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Krakowski-2006","PUB","OTHER","Krakowski MI","Clozapine and olanzapine in violent schizophrenics","CRISP database (https://www-commons.cit.nih.gov/crisp/index.html)","(accessed 19th February 2001)","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Kumra-2008","MIX","JOURNAL_ARTICLE","Kumra S, Kranzler H, Gerbino-Rosen G, Kester HM, DeThomas C, Kafantaris V, Correl CU, Kane JM","Clozapine and ""high-dose"" olanzapine in refractory early-onset schizophrenia: a 12 weeks randomized and double-blind comparison","Biological Psychiatry","2008","63","5","524 -29","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Li--2002","PUB","JOURNAL_ARTICLE","Li Yan, Wang CH, Zhang DH","A study of quetiapine and clozapine in treatment of the first episode schizophrenia","Chinese Journal of Nervous and Mental Diseases","2002","28","3","219-20","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Li--2003","PUB","JOURNAL_ARTICLE","Li CH","A study of quetiapine and clozapine in treatment of schizophrenia","Chinese Journal of Nervous and Mental Diseases","2003","29","4","306-07","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Li--2005","PUB","JOURNAL_ARTICLE","Li Y-F, Feng Y-G","A double blind comparing study between the effects of quetiapine and clozapine on the life quality of the patients with schizophrenia","Medical Journal of Chinese People Health","2005","17","6","262-4","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lin-2003","PUB","JOURNAL_ARTICLE","Lin C-C, Bai Y-M, Chen J-Y, Wang Y-C, Liou Y-J, Chao C-H, Lai I-C, Tsai K-Y, Chiu H-J","Switching from clozapine to zotepine in schizophrenic patients: a randomized, single-blind controlled study","Journal of the European College of Neuropsychopharmacology","2003","13","4","S318","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lin-2003","PUB","JOURNAL_ARTICLE","Lin CC, Chen JY, Bai YM, Chen TT, Wang YC, Liou YJ, Lin WK","Remission of tardive dyskinesia following the switch from clozapine to zotepine: 2-year follow-up","Journal of the European College of Neuropsychopharmacology","2006","16","Suppl 4","S410","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lin-2003","PUB","JOURNAL_ARTICLE","Lin CC, Chen JY, Bai YM, Wang YC, Liou YJ, Lin WK, Chen TT","Long-term outcome of switching from clozapine to zotepine in refractory schizophrenia: a 2-year follow-up study","Journal of the European College of Neuropsychopharmacology","2005","15","Suppl 3","S500","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lindenberg-1997","PUB","JOURNAL_ARTICLE","Gallhofer B, Gruppe H, Bauer U","Zotepine versus clozapine: A comparison of the impact on the cognitive dysfunction syndrome in schizophrenia (a double blind trial)","Pharmacopsychiatry","1995","28","","179","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lindenberg-1997","PUB","JOURNAL_ARTICLE","Gallhofer B, Ulferts J, Bauer U, Gruppe H","Cognitive dysfunction in schizophrenia: a comparison of the impact of zotepine versus clozapine on the syndrome (a double blind trial)","Schizophrenia Research","1996","18","2-3","220","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Lindenberg-1997","PUB","JOURNAL_ARTICLE","Meyer-Lindenberg A, Bauer U, Lis S, Krieger S, Gallhofer B","Improvement of cognitive function in schizophrenic patients receiving clozapine or zotepine: Results from a double blind trial","Pharmacopsychiatry","1997","30","2","35-42","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Liu--2004","PUB","JOURNAL_ARTICLE","Liu Y, Xu M, Chen X","A controlled study of quetiapine and clozapine in the treatment of schizophrenia with predominantly negative symptoms","Shandong Archives of Psychiatry","2004","17","1","6-8","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","JOURNAL_ARTICLE","Bellack AS, Schooler NR, Marder SR, Kane JM, Brown CH, Yang Y","Do clozapine and risperidone affect social competence and problem solving?","American Journal of Psychiatry","2004","161","2","364-7","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","JOURNAL_ARTICLE","Marder SR, Schooler NR, Kane JM, Petrides G, Chengappa KN, Wirshing WC, Wirshing DA, Umbricht D, Parapelli H","Tolerability of clozapine and risperidone during a twenty nine week trial","Schizophrenia Research","2003","60","1","293-4","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","JOURNAL_ARTICLE","McGurk SR, Carter C, Goldman R, Green MF, Marder SR, Xie H, Schooler NR, Kane JM","The effects of clozapine and risperidone on spatial working memory in schizophrenia","American Journal of Psychiatry","2005","162","5","1013-6","United States","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","CONFERENCE_PROC","McGurk SR, Goldman RS, Carter C, Green MF, Schooler N, Marder SR, Kane J","A double-blind comparison of clozapine and risperidone on spatial working memory in treatment-resistant schizophrenia.","Proceedings of the 39th Annual Meeting of the American College of Neuropsychopharmacology; 2000 Dec 10-14; San Juan, Puerto Rico","2000","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","JOURNAL_ARTICLE","McGurk SR, Goldman RS, Carter C, Green MF, Schooler R, Marder SR, Kane JM","A double-blind comparison of clozapine and risperidone on spatial working memory in treatment resistant schizophrenia","Schizophrenia Research","2001","49","1-2 Suppl","238","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-McGurk-2005","PUB","JOURNAL_ARTICLE","Schooler N, Marder S, Kane J, Chengappa KNR, Wirshing W, Umbricht D, Parepally H, Wirshing D, Petrides G","Clozapine and risperidone: a 29-week randomized clinical trial","Schizophrenia Research","1999","1, 2 & 3","","296","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Alphs L, Anand R, Islam MZ, Meltzer HY, Kane JM, Krishnan R, Green AI, Potkin S, Chouinard G, Lindenmayer JP, Kerwin R","The International Suicide Prevention Trial (InterSePT): Rationale and design of a trial comparing the relative ability of clozapine and olanzapine to reduce suicidal behavior in schizophrenia and schizoaffective patients","Schizophrenia Bulletin","2004","30","3","577-86","United States","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Bourgeois M, Swendsen J, Young F, Amador X, Pini S, Cassano GB, Lindenmayer JP, Hsu C, Alphs L, Meltzer HY, InterSePT Study Group","Awareness of disorder and suicide risk in the treatment of schizophrenia: results of the international suicide prevention trial","American Journal of Psychiatry","2004","161","8","1494-6","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Glick ID, Zaninelli R, Hsu C, Young FK, Weiss L, Gunay I, Kumar V","Patterns of concomitant psychotropic medication use during a 2-year study comparing clozapine and olanzapine for the prevention of suicidal behavior","Journal of Clinical Psychiatry","2004","65","5","679-85","United States of America","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Kane J, Alphs LD, Meltzer HY, Green AI, Hsu C, Anand R, Young F, Fahy T","The relationship between clinical response and changes in weight for clozapine and olanzapine-treated patients","International Journal of Neuropsychopharmacology","2002","5","Suppl 1","S171","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer H","Decreasing suicide in schizophrenia: the intersept study","European Psychiatry","2002","17","Suppl 1","26","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","CONFERENCE_PROC","Meltzer HY, Alphs L, Anand AR, Islam MZ, Potkin SG","The intersept trial: reduced suicidality with clozapine treatment","Proceedings of the 155th Annual Meeting of the American Psychiatric Association; 2002 May 18-23; Philadelphia, Pennsylvania, USA","2002","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY, Alphs L, Greem AI, Altamura AC, Anand R, Bertoldi A, Bourgeois M, Chouinard G, Islam MZ, Kane J, Krishnan R, Lindenmayer J-P, Potkin S, InterSePT Study Group","Clozapine treatment for suicidality in schizophrenia","Archives of General Psychiatry","2003","60","","82-91","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY, Baldessarini RJ","Reducing the risk for suicide in schizophrenia and affective disorders","Journal of Clinical Psychiatry","2003","64","9","1122-9","United States of America","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY","An evidence-based approach to reducing the risk of suicide in schizophrenia","Journal of the European College of Neuropsychopharmacology","2004","14","Suppl 3","S145","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY","Reducing risk of suicide in schizophrenia","Journal of the European College of Neuropsychopharmacology","2003","13","4","S163","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","CONFERENCE_PROC","Meltzer HY","Reducing suicidality in schizophrenia and schizoaffective disorder","Proceedings of the 156th Annual Meeting of the American Psychiatric Association; 2003 May 17-22; San Francisco, California, USA","2003","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY","Suicide and schizophrenia: clozapine and the InterSePT study","Journal of Clinical Psychiatry","1999","60","Suppl 12","47-50","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Meltzer HY","Treatment of suicidality in schizophrenia","Annals of the New York Academy of Sciences","2001","932","","44-58","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","OTHER","Mortimer A","A prospective, randomised, international, parallel group comparison of Clozaril/Leponex vs Zyprexa in the reduction of suicidality in patients with schizophrenia or schizoaffective disorder who are at risk of suicide.","National Research Register","2001","3","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","OTHER","Mortimer A","Randomised prospective parallel group comparison of clozapine vs. olanzapine in the reduction of suicidality in patients with schizophrenia/schizoaffective disorder","National Research Register","2002","1","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","OTHER","Novartis Pharmaceuticals Group","New treatment for suicidal behavior in schizophrenia or schizoaffective disorder. International suicide prevention trial (InterSePT): reduced suicidality in schizophrenia with clozapine treatment [CLO-8176]","Archives of General Psychiatry","2003","","","","New Jersey","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Potkin SG, Alphs L, Hsu C, Krishn n K, Ranga Rama, Anand R, Young FK, Meltzer H, Green A","Predicting suicidal risk in schizophrenic and schizoaffective patients in a prospective two-year trial","Biological Psychiatry","2003","54","4","444-52","United States of America","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Meltzer-2003","PUB","JOURNAL_ARTICLE","Young F, Meltzer H, Alphs L, Anand R, Green A, Potkin S, Kane J, Krishnan R, Islam Z, Hsu C, Martin S","The Intersept study: reduced suicidal behavior in schizophrenic clozapine-treated patients","International Journal of Neuropsychopharmacology","2002","5","Suppl 1","S77","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Moresco-2004","PUB","JOURNAL_ARTICLE","Moresco RM, Cavallaro R, Messa C, Bravi D, Gobbo C, Galli LLG, Colombo C, Rizzo G, Velona I, Smeraldi E, Fazio F","Cerebral D2 and 5-HT2 receptor occupancy in schizophrenic patients treated with olanzapine or clozapine","Journal of Psychopharmacology","2004","18","3","355-65","United States","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Bender S, Dittmann-Balcar A, Schall U, Klimke A, Riedel M, Vorbach U, Kuehn KU, Lambert M, Dittmann RW, Naber D","Effects of olanzapine versus clozapine on executive functions in schizophrenia","Schizophrenia Research","2002","53","3 Suppl 1","194","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Bender S, Dittmann-Balcar A, Schall U, Wolstein J, Klimke A, Riedel M, Vorbach E-U, Kuhn K-U, Lambert M, Dittmann RW, Naber D","Influence of atypical neuroleptics on executive functioning in patients with schizophrenia: a randomized, double-blind comparison of olanzapine vs clozapine","International Journal of Neuropsychopharmacology","2006","9","2","135-45","England","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Dittmann-Balcar A, Bender S, Schall U, Klimke A, Mueller N, Vorbach U, Kuehn KU, Dittmann RW, Naber D","Effects of olanzapine versus clozapine on executive functions in schizophrenia","Schizophrenia Research","2003","60","1","131","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Naber D, Bandelow B, Bender S, Klimke A, Kuehn K, Lambert M, Lemmer W, Dittmann M, Riedel ER","Subjective well-being under neuroleptic treatment with olanzapine versus clozapine: first results from a double-blind clinical trial using the SWN self-rating scale","Schizophrenia Research","2001","49","1, 2","240","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Naber D, Degner D, Bender S, Klimke A, Kuhn KU, Lambert M, Lemmer W, Riedel M, Vorbach EU, Dittmann RW","Olanzapine vs. clozapine: findings on subjective well-being from a double-blind clinical trial","Schizophrenia Research","2002","53","3 Suppl 1","176","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Naber-2005","PUB","JOURNAL_ARTICLE","Naber D, Riedel M, Klimke A, Vorbach E-U, Lambert M, Kühn K-U, Bender S, Bandelow B, Lemmer W, Moritz S, Dittmann RW","Randomized double blind comparison of olanzapine vs. clozapine on subjective well-being and clinical outcome in patients with schizophrenia","Acta Psychiatrica Scandinavica","2005","111","2","106-15","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Ren-2002","PUB","JOURNAL_ARTICLE","Ren Q, Lu Y","Comparison of quality of life of schizophrenic outpatients treated with risperdal or clozapine","Chinese Mental Health Journal","2002","16","3","198-9","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Sacchetti-2006","PUB","JOURNAL_ARTICLE","Sacchetti E, Galluzzo A, Valsecchi P, Romeo F, Gorini B, Warrington L","Efficacy and safety of ziprasidone and clozapine in treatment refractory schizophrenic patients: results of a randomized, double-blind, 18-week trial","Journal of the European College of Neuropsychopharmacology","2006","16","Suppl 4","S374","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Shaw-2006","PUB","JOURNAL_ARTICLE","Shaw P, Sporn A, Gogtay N, Overman GP, Greenstein D, Gochman P, Tossell JW, Lenane M, Rapoport JL","Childhood-onset schizophrenia: a double blind, randomized clozapine-olanzapine comparison","Archives of General Psychiatry","2006","63","7","721-30","United States","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","OTHER","Beasley CM, Beuzen JN, Birkett MA, Kiesler GM, Tollefson GD, Wood AJ","Olanzapine versus clozapine: an international double-blind study of the treatment of resistant schizophrenia","Proceedings of the 152nd Annual Meeting of the American Psychiatric Association; 1999 May 15-20; Washington DC, USA","1999","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Beasley CM, Beuzen JN, Birkett MA","Olanzapine versus clozapine: an international double-blind study in the treatment of patients with treatment-resistant schizophrenia","Proceedings of the 39th Annual Meeting of the New Clinical Drug Evaluation Unit; 1999 Jun 1-4; Boca Raton, Florida, USA","1999","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Beuzen JN, Birkett M, Kiesler G, Wood A","Olanzapine vs. clozapine in resistant schizophrenic patients - results of an international double- blind randomised clinical trial","Proceedings of the 21st Collegium Internationale Neuro-Psychopharmacologicum Congress; 1998 Jul 12-16; Glasgow, UK","1998","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Beuzen JN, Birkett MA, Kiesler GM","An investigation of subgroup effects in a study of olanzapine versus clozapine in the treatment of resistant schizophrenic patients","Proceedings of the 11th European College of Neuropsychopharmacology Congress; 1998 Oct 31 - Nov 4; Paris, France","1998","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Beuzen JN, Wood AJ, Kiesler GM, Birkett M, Tollefson GD","Olanzapine vs. Clozapine: an international double-blind study in the treatment of patients with treatment-resistant schizophrenia","Proceedings of the 11th World Congress of Psychiatry; 1999 Aug 6-11; Hamburg, Germany","1999","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","JOURNAL_ARTICLE","David SR, Meehan KM, Sutton VK, Taylor CC","Treatment of negative symptoms with olanzapine in comparison with other novel antipsychotic agents","International Journal of Neuropsychopharmacology","2000","3","Suppl 1","s140","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Dossenbach M, Bitter I, Slabber M, Pretorius J, Bartko GY, Banics Z, Martenyi F","Olanzapine versus clozapine in patients nonresponsive or intolerant to standard acceptable treatment for schizophrenia","Proceedings of the 153rd Annual Meeting of the American Psychiatric Association; 2000 May 13-18; Chicago, Illinois","2000","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Dossenbach M, Bitter I, Slabber M, Pretorius J, Bartko GY, Banics Z, Martenyi F","Olanzapine versus clozapine in patients nonresponsive or intolerant to standard acceptable treatment for schizophrenia","Proceedings of the 155th Annual Meeting of the American Psychiatric Association; 2002 May 18-23; Philadelphia, Pennsylvania, USA","2002","","","","","[]"
"../ALL-2015-06/C-F/Clozapine versus other atypical antipsychotics for schizophrenia [v5.0-For publication].rm5","STD-Tollefson-2001","PUB","CONFERENCE_PROC","Dossenbach M, Slabber M, Martenyi F, Bartko G, Bitter I","Olanzapine vs. clozapine in patients non responsive or intolerant to standard acceptable treatment of schizophrenia","World Psychiatry","1999","2","","148","","[]"
