"file","id","modified","result","result_description","rob_name","rob_id","rob_description","group_id","group_name"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kane-1983","2013-09-25 16:06:55 +0100","UNKNOWN","Losses to follow-up not reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kane-1983","2013-09-25 16:06:26 +0100","NO","Outcome data for BPRS and CGI not reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kane-1983","2013-09-22 07:42:11 +0100","YES","""...supported, in part, by grants...from the National Institute of Mental Health"".","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:26:26 +0100","UNKNOWN","Randomisation details not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:26:36 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:26:42 +0100","UNKNOWN","""double blind"".","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:26:48 +0100","UNKNOWN","Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2014-10-08 15:35:48 +0100","UNKNOWN","All participants (completed and terminated) were entered to the analysis. No missing data.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:42:26 +0100","NO","Data not reported fully for mental state and adverse effects.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kaneno-1991","2013-09-30 08:31:22 +0100","UNKNOWN","The paper is in Japanese.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:31:45 +0100","UNKNOWN","""randomly allocated"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:32:15 +0100","YES","""the key to the allocation [was] known only to the hospital pharmacist and to the nurse administering the injections"".","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:38:01 +0100","UNKNOWN","Insufficient information: patients may have blinded, nurses were unblinded. ""...the key to the allocation [was] known only to the nurse administering the injections.""","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:32:33 +0100","UNKNOWN","Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:38:19 +0100","YES","Number and reasons for missing data balanced. 60 randomised, 53 completed patients. 6 patients relapsed (3 in each group and 1 became pregnant.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:39:43 +0100","NO","No data reported for EPS, data not fully reported for BPRS.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kelly-1977","2013-09-30 08:39:53 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-22 07:43:13 +0100","UNKNOWN","""randomly separated"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-22 07:43:23 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-22 07:43:32 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-22 07:43:34 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-25 16:07:32 +0100","YES","All participants completed the study.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-25 16:07:51 +0100","NO","Reports reported incompletely. ","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Keskiner-1971","2013-09-25 16:07:54 +0100","YES","""Supported, in part, by Psychiatric Research Foundation of Missouri and The Squibb Institute for Medical Research, new brunswick, NJ"".","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:17:43 +0100","UNKNOWN","""randomly assigned"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:17:47 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:17:50 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:17:54 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2014-07-06 09:59:02 +0100","YES","Losses to follow-up balanced in numbers across allocation groups: 7 participants from the 2-week group and 6 from the 6-week group. Reasons for drop-outs not reported per allocation group.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:18:35 +0100","YES","All outcome results have been reported. ","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Khazaie-2005","2013-09-25 11:18:39 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-25 16:09:43 +0100","YES","""random allocation (coin throwing)"".","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-22 07:45:13 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-22 07:45:22 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-22 07:45:24 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-25 16:11:37 +0100","NO","Losses to follow-up/missing data imbalanced in numbers or reasons across intervention groups. 10 (30%) of participants in the haloperidol group left the study early and 13 (60%) in the fluphenazine group. ","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-25 16:11:54 +0100","NO","All outcomes have been reported, however data presented is not usable.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kissling-1985","2013-09-25 16:11:56 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-22 07:47:04 +0100","UNKNOWN","""randomly assigned"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-22 07:47:15 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-22 07:47:25 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-22 07:47:28 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-25 16:17:06 +0100","NO","132 participants entered the study, the final sample was 51. Reasons for losses to follow-up not reported.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2014-07-06 10:04:54 +0100","NO","Outcomes reported as P values.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kreisman-1988","2013-09-22 07:52:43 +0100","UNKNOWN","Source of funding not reported","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-22 07:54:01 +0100","UNKNOWN","""randomly assigned"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-22 07:54:15 +0100","YES","""Medication was administered under a code number known only to the pharmacist.""","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-22 07:54:24 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-22 07:54:26 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-22 07:54:36 +0100","YES","All patients completed the study.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-12-04 12:09:31 +0000","YES","All outcomes reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Kurland-1966","2013-09-25 16:18:47 +0100","YES","""grant-in aid from the Squibb Institute for Medical Research"".","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:25:42 +0000","UNKNOWN","Randomised, details not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:25:59 +0000","UNKNOWN","Not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:26:33 +0000","UNKNOWN","To assure the double-blindness, the patients whose doses were reduced were given placebo injections","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:26:46 +0000","UNKNOWN","Double-blind, details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:27:06 +0000","YES","Forty patients were randomised and 39 patients were analysed after 24 weeks. There was one drop-out from the high-dosage group.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:27:26 +0000","UNKNOWN","Unable to use data for EWL-K, other outcomes reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lehmann-1980","2014-02-28 17:27:46 +0000","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-10-02 12:07:21 +0100","NO","""randomised"", ""On admission, the patients were assigned the next available study number in numerical sequence and allocated to receive either pipothiazine palmitate or fluphenazine decanoate"".","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-22 07:56:36 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-22 07:56:47 +0100","NO","""The administration of the study medications was open to the person giving the injections...""","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-22 07:56:59 +0100","YES","""...the patients' symptoms and side effects...were assessed by one of the investigators who had no knowledge of which study medication had been prescribed.""","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-25 16:22:05 +0100","YES","All participants completed the trial.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-25 16:22:12 +0100","YES","All outcomes reported.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Leong-1989","2013-09-22 07:57:24 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-22 07:58:10 +0100","UNKNOWN","""randomly assigned"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-22 07:58:21 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-22 07:58:29 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-22 07:58:32 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-25 16:26:49 +0100","YES","""Five patients received an administrative discharge from the study prior ton remission for reasons unrelated to their illness, to the medication they were receiving, or to any other pertinent study variable"".","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-25 16:26:54 +0100","NO","Clinical outcome (BPRS) reported incompletely.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Levenson-1976","2013-09-22 08:03:02 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-22 08:03:42 +0100","UNKNOWN","""randomly allocated"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-22 08:03:52 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-22 08:04:01 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-22 08:04:03 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of outcome assessment (detection bias)","QIT-08","Detection bias due to knowledge of the allocated interventions by outcome assessors","QIG-08.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-25 16:27:15 +0100","YES","Losses to follow-up / missing data balanced across intervention groups, with similar reasons for missing data.","Incomplete outcome data (attrition bias)","QIT-04","Attrition bias due to amount, nature or handling of incomplete outcome data","QIG-04.01","All outcomes"
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-25 16:27:20 +0100","NO","Results reported incompletely: BPRS, CPRS, CSE, SAS, HRSD, KAS.","Selective reporting (reporting bias)","QIT-05","Reporting bias due to selective outcome reporting","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-Lundin-1990","2013-09-25 16:27:19 +0100","UNKNOWN","Source of funding not reported.","Other bias","QIT-06","Bias due to problems not covered elsewhere in the table","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-MacCrimmon-1978","2013-09-22 08:06:52 +0100","UNKNOWN","""randomly assigned"". Method not reported.","Random sequence generation (selection bias)","QIT-01","Selection bias (biased allocation to interventions) due to inadequate generation of a randomised sequence","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-MacCrimmon-1978","2013-09-22 08:07:01 +0100","UNKNOWN","Details of allocation concealment not reported.","Allocation concealment (selection bias)","QIT-02","Selection bias (biased allocation to interventions) due to inadequate concealment of allocations prior to assignment","",""
"../ALL-2015-06/C-F/Fluphenazine decanoate (depot) and enanthate for schizophrenia [v9.0-For publication].rm5","STD-MacCrimmon-1978","2013-09-22 08:07:10 +0100","UNKNOWN","""double-blind"". Blinding details not reported.","Blinding of participants and personnel (performance bias)","QIT-07","Performance bias due to knowledge of the allocated interventions by participants and personnel during the study","QIG-07.01","All outcomes"
